image_id,a,b,c,d,true_label,extra_info,just_label,unicode
S04_001-2,2601,1084,132,184,꽃_화_華,,華,U+83EF
S04_001-2,2577,1273,170,141,대자리_연_筵,,筵,U+7B75
S04_001-2,2591,1420,148,137,대답할_대_對,,對,U+5C0D
S04_001-2,2562,1700,198,177,어른_장_丈,,丈,U+4E08
S04_001-2,2581,1890,152,109,다스릴_략_略,,略,U+7565
S04_001-2,2611,2014,115,100,아닐_불_不,,不,U+4E0D
S04_001-2,2139,2490,124,78,아닐_불_不,,不,U+4E0D
S04_001-2,2588,2140,141,143,할_위_爲,,爲,U+7232
S04_001-2,2125,1728,135,151,할_위_爲,,爲,U+7232
S04_001-2,2592,2297,109,94,갈_지_之,,之,U+4E4B
S04_001-2,1591,3241,96,95,갈_지_之,,之,U+4E4B
S04_001-2,2573,2414,156,191,말_사_辭,,辭,U+8FAD
S04_001-2,2579,2621,184,137,피할_피_避,,避,U+907F
S04_001-2,2597,2765,135,125,놈_자_者,,者,U+8005
S04_001-2,2595,2900,153,142,굳을_고_固,,固,U+56FA
S04_001-2,2605,3041,140,113,이미_이_已,,已,U+5DF2
S04_001-2,2343,1109,142,149,어조사_어_於,,於,U+65BC
S04_001-2,2131,1100,136,142,큰_대_大,,大,U+5927
S04_001-2,2140,1411,131,142,어조사_의_矣,,矣,U+77E3
S04_001-2,2099,1891,180,155,부끄러워 할_괴_愧,,愧,U+6127
S04_001-2,2106,2047,172,171,두려워할_구_懼,,懼,U+61FC
S04_001-2,2130,2225,130,248,귀_이_耳,,耳,U+8033
S04_001-2,1082,1419,142,264,귀_이_耳,,耳,U+8033
S04_001-2,873,2888,143,324,귀_이_耳,,耳,U+8033
S04_001-2,605,730,377,124,귀_이_耳,,耳,U+8033
S04_001-2,2101,2580,161,194,살필_심_審,,審,U+5BE9
S04_001-2,2137,2783,99,84,해_일_日,,日,U+65E5
S04_001-2,4556,2085,87,78,해_일_日,,日,U+65E5
S04_001-2,987,731,70,108,해_일_日,,日,U+65E5
S04_001-2,2117,2876,176,165,틈_간_間,,間,U+9593
S04_001-2,1867,977,144,140,모실_시_侍,,侍,U+4F8D
S04_001-2,1861,1147,142,173,제사 지낼_전_奠,,奠,U+5960
S04_001-2,1849,1347,149,142,몸_체_體,,體,U+9AD4
S04_001-2,1875,1502,129,110,힘_력_力,,力,U+529B
S04_001-2,1872,1629,140,124,가를_지_支,,支,U+652F
S04_001-2,1844,1765,167,122,서로_상_相,,相,U+76F8
S04_001-2,1604,1094,135,125,맏_백_伯,,伯,U+4F2F
S04_001-2,3449,705,66,123,맏_백_伯,2.0,伯,U+4F2F
S04_001-2,1591,1230,152,155,버금_중_仲,,仲,U+4EF2
S04_001-2,3340,705,102,135,버금_중_仲,,仲,U+4EF2
S04_001-2,1611,1413,146,117,각시_씨_氏,,氏,U+6C0F
S04_001-2,3256,719,76,117,각시_씨_氏,,氏,U+6C0F
S04_001-2,1594,1543,188,164,일어날_기_起,,起,U+8D77
S04_001-2,1598,1717,157,140,있을_거_居,,居,U+5C45
S04_001-2,1598,1969,135,131,맛_미_味,,味,U+5473
S04_001-2,1591,2109,140,106,보배_진_珍,,珍,U+73CD
S04_001-2,1588,2230,119,158,무거울_중_重,,重,U+91CD
S04_001-2,1573,2412,139,137,아닐_부_否,,否,U+5426
S04_001-2,1567,2572,167,154,돌_선_旋,,旋,U+65CB
S04_001-2,1586,2746,100,121,쓸_용_用,,用,U+7528
S04_001-2,1572,2885,127,160,볼_첨_瞻,,瞻,U+77BB
S04_001-2,1551,3061,146,172,막힐_울_鬱,,鬱,U+9B31
S04_001-2,1575,3347,119,128,이를_지_至,,至,U+81F3
S04_001-2,1397,1126,114,129,아우_제_弟,,弟,U+5F1F
S04_001-2,4631,2643,91,106,아우_제_弟,,弟,U+5F1F
S04_001-2,1351,1288,134,127,없을_무_無,,無,U+7121
S04_001-2,1307,2928,172,149,없을_무_無,,無,U+7121
S04_001-2,1335,1426,160,191,어지러울_요_擾,,擾,U+64FE
S04_001-2,1633,724,111,143,어지러울_요_擾,,擾,U+64FE
S04_001-2,1352,1621,149,115,돌아올_반_返,,返,U+8FD4
S04_001-2,1352,1755,123,194,집_소_巢,,巢,U+5DE2
S04_001-2,1333,1977,144,95,시어미_고_姑,,姑,U+59D1
S04_001-2,1355,2096,136,141,면할_면_免,,免,U+514D
S04_001-2,1354,2246,121,131,날_생_生,,生,U+751F
S04_001-2,1331,2393,151,148,병_병_病,,病,U+75C5
S04_001-2,1335,2571,127,76,손자_손_孫,,孫,U+5B6B
S04_001-2,1333,2668,139,130,아이_아_兒,,兒,U+5152
S04_001-2,1336,2808,121,94,또_역_亦,,亦,U+4EA6
S04_001-2,1318,3089,155,149,다를_타_他,,他,U+4ED6
S04_001-2,1075,1691,168,190,새_신_新,,新,U+65B0
S04_001-2,1048,1902,177,269,며느리_부_婦,,婦,U+5A66
S04_001-2,1057,2179,154,122,빛날_경_耿,,耿,U+803F
S04_001-2,1091,2462,115,144,눈썹_미_眉,,眉,U+7709
S04_001-2,1118,2622,75,108,눈_목_目,,目,U+76EE
S04_001-2,1069,2753,152,142,길_장_長,,長,U+9577
S04_001-2,1082,3048,132,129,눈_안_眼,,眼,U+773C
S04_001-2,1097,3314,113,150,돌아갈_귀_歸,,歸,U+6B78
S04_001-2,823,1148,185,145,자랑할_타_詫,,詫,U+8A6B
S04_001-2,818,1471,181,145,사람_인_人,,人,U+4EBA
S04_001-2,826,1632,176,159,들_거_擧,,擧,U+64E7
S04_001-2,834,1804,151,135,집_실_室,,室,U+5BA4
S04_001-2,810,1969,173,156,기쁠_희_喜,,喜,U+559C
S04_001-2,830,2140,155,119,다할_극_極,,極,U+6975
S04_001-2,840,2291,159,115,다_개_皆,,皆,U+7686
S04_001-2,846,2424,153,113,하고자 할_욕_欲,,欲,U+6B32
S04_001-2,834,2561,177,192,춤출_무_舞,,舞,U+821E
S04_001-2,860,2766,134,103,밟을_도_蹈,,蹈,U+8E48
S04_001-2,827,3213,191,106,남을_여_餘,,餘,U+9918
S04_001-2,599,1172,144,134,갖출_비_備,,備,U+5099
S04_001-2,604,1319,140,115,트일_소_疏,,疏,U+758F
S04_001-2,4785,1593,132,120,트일_소_疏,,疏,U+758F
S04_001-2,609,1447,153,142,거동_의_儀,,儀,U+5100
S04_001-2,1951,721,122,148,거동_의_儀,,儀,U+5100
S04_001-2,614,1604,141,143,엎드릴_복_伏,,伏,U+4F0F
S04_001-2,4775,1180,163,187,살필_찰_察,,察,U+5BDF
S04_001-2,4796,1720,121,100,위_상_上,,上,U+4E0A
S04_001-2,4627,3165,111,64,위_상_上,,上,U+4E0A
S04_001-2,4528,1251,115,133,아홉째 천간_임_壬,,壬,U+58EC
S04_001-2,4538,1389,150,158,개_술_戌,,戌,U+620C
S04_001-2,4512,1562,164,81,여덟_팔_八,,八,U+516B
S04_001-2,4529,2005,138,78,여덟_팔_八,,八,U+516B
S04_001-2,4564,1644,88,125,달_월_月,,月,U+6708
S04_001-2,4544,1784,123,81,두_이_二,,二,U+4E8C
S04_001-2,4545,1885,117,107,열_십_十,,十,U+5341
S04_001-2,4533,2757,227,150,쇠_금_金,,金,U+91D1
S04_001-2,4547,2920,167,129,홍_㙆,,㙆,U+3646
S04_001-2,4606,3066,122,90,사례할_사_謝,,謝,U+8B1D
S04_001-2,3128,705,115,130,및_기_曁,,曁,U+66C1
S04_001-2,2954,701,129,136,마루_종_宗,,宗,U+5B97
S04_001-2,2828,716,119,126,늙은이_수_叟,,叟,U+53DF
S04_001-2,2727,711,99,124,늙은이_로_老,,老,U+8001
S04_001-2,2620,715,93,146,맏_형_兄,,兄,U+5144
S04_001-2,2476,709,133,149,앞_전_前,,前,U+524D
S04_001-2,2359,710,105,157,합할_합_合,,合,U+5408
S04_001-2,2267,726,87,126,있을_유_有,,有,U+6709
S04_001-2,2083,719,127,137,물을_후_候,,候,U+5019
S04_001-2,1754,731,89,126,바쁠_망_忙,,忙,U+5FD9
S04_001-2,1398,747,102,116,실과_과_果,,果,U+679C
S04_001-2,1167,723,109,135,기다릴_사_竢,,竢,U+7AE2
S04_001-2,1057,734,102,108,뒤_후_後,,後,U+5F8C
S04_002,3932,1150,215,204,엎드릴_복_伏,,伏,U+4F0F
S04_002,2580,2917,243,190,엎드릴_복_伏,,伏,U+4F0F
S04_002,3947,1368,212,205,받들_승_承,,承,U+627F
S04_002,3604,921,241,267,높을_존_尊,,尊,U+5C0A
S04_002,3305,944,224,244,높을_존_尊,,尊,U+5C0A
S04_002,1976,950,227,252,높을_존_尊,,尊,U+5C0A
S04_002,3635,1196,213,158,패_찰_札,,札,U+672D
S04_002,3612,1376,226,201,삼갈_근_謹,,謹,U+8B39
S04_002,2966,1624,212,203,삼갈_근_謹,,謹,U+8B39
S04_002,3639,1606,195,213,살필_심_審,,審,U+5BE9
S04_002,3650,1863,163,178,가운데_중_中,,中,U+4E2D
S04_002,3644,2058,175,210,여름_하_夏,,夏,U+590F
S04_002,3294,1208,229,229,몸_체_體,,體,U+9AD4
S04_002,3288,1458,258,191,일어날_기_起,,起,U+8D77
S04_002,3271,1673,237,205,있을_거_居,,居,U+5C45
S04_002,3306,1883,204,218,일만_만_萬,,萬,U+842C
S04_002,3302,2117,204,201,무거울_중_重,,重,U+91CD
S04_002,3326,2350,177,170,지경_구_區,,區,U+5340
S04_002,3284,2638,220,236,위로할_위_慰,,慰,U+6170
S04_002,3297,2899,203,244,우러를_앙_仰,,仰,U+4EF0
S04_002,2965,1153,258,217,친할_친_親,,親,U+89AA
S04_002,3006,1384,169,225,일_사_事,,事,U+4E8B
S04_002,2968,1841,216,239,들을_문_聞,,聞,U+805E
S04_002,4276,2264,195,181,들을_문_聞,,聞,U+805E
S04_002,2611,1172,260,218,목숨_명_命,,命,U+547D
S04_002,2640,1404,163,170,어조사_의_矣,,矣,U+77E3
S04_002,2629,1609,173,148,기둥_주_柱,,柱,U+67F1
S04_002,2610,1798,192,241,홑_단_單,,單,U+55AE
S04_002,2582,2070,258,208,기록할_록_錄,,錄,U+9304
S04_002,2652,2286,144,186,드릴_정_呈,,呈,U+5448
S04_002,2601,2487,212,180,아닐_불_不,,不,U+4E0D
S04_002,2598,2686,206,208,갖출_비_備,,備,U+5099
S04_002,2292,1156,197,234,생각할_유_惟,,惟,U+60DF
S04_002,1967,1210,223,235,살필_찰_察,,察,U+5BDF
S04_002,1975,1582,217,189,대답할_답_答,,答,U+7B54
S04_002,1996,1790,168,98,위_상_上,,上,U+4E0A
S04_002,1959,1902,225,196,형상_장_狀,,狀,U+F9FA
S04_002,1706,1409,179,126,아홉째 천간_임_壬,,壬,U+58EC
S04_002,1711,1539,201,188,개_술_戌,,戌,U+620C
S04_002,1704,1732,177,135,다섯_오_五,,五,U+4E94
S04_002,1727,1878,154,160,달_월_月,,月,U+6708
S04_002,1708,2052,166,151,여섯_육_六,,六,U+F9D1
S04_002,1740,2203,112,132,해_일_日,,日,U+65E5
S04_002,4241,2455,212,154,풍류 이름_소_韶,,韶,U+97F6
S04_002,4257,2617,221,161,쇠_금_金,,金,U+F90A
S04_002,4260,2786,187,160,홍_㙆,,㙆,U+3646
S04_002,4271,2971,160,127,두_재_再,,再,U+518D
S04_002,4281,3103,155,178,절_배_拜,,拜,U+62DC
S04_003-1,609,803,222,209,되돌릴_반_反,,反,U+53CD
S04_003-1,625,998,222,232,개_포_浦,,浦,U+6D66
S04_003-1,633,1340,189,235,맑을_청_淸,,淸,U+6DF8
S04_003-1,624,1574,200,255,책상_안_案,,案,U+6848
S04_003-1,642,1931,176,215,공경할_경_敬,,敬,U+656C
S04_003-1,674,2158,140,213,드릴_정_呈,,呈,U+5448
S04_003-1,1446,1273,226,187,내_천_川,,川,U+5DDD
S04_003-1,1458,1481,179,173,위_상_上,,上,U+4E0A
S04_003-1,1478,1669,143,184,쇠_금_金,,金,U+F90A
S04_003-1,1494,1857,125,202,아우_제_弟,,弟,U+5F1F
S04_003-1,1476,2062,146,226,물을_후_候,,候,U+5019
S04_003-1,1460,2294,182,193,형상_장_狀,,狀,U+F9FA
S04_003-2,3807,660,170,175,일천_천_千,,千,U+5343
S04_003-2,3817,846,141,133,마을_리_里,,里,U+91CC
S04_003-2,3796,997,175,199,찰_한_寒,,寒,U+5BD2
S04_003-2,1737,1218,110,184,찰_한_寒,,寒,U+5BD2
S04_003-2,1307,2366,116,192,찰_한_寒,,寒,U+5BD2
S04_003-2,3795,1211,180,183,단위_정_程,,程,U+7A0B
S04_003-2,3790,1405,176,126,뫼_산_山,,山,U+5C71
S04_003-2,3787,1530,165,154,밖_외_外,,外,U+5916
S04_003-2,3808,1684,126,122,갈_지_之,,之,U+4E4B
S04_003-2,3549,2893,116,109,갈_지_之,,之,U+4E4B
S04_003-2,2791,1738,85,156,갈_지_之,,之,U+4E4B
S04_003-2,2273,965,78,98,갈_지_之,,之,U+4E4B
S04_003-2,1508,2062,93,108,갈_지_之,,之,U+4E4B
S04_003-2,4694,2828,63,90,갈_지_之,,之,U+4E4B
S04_003-2,3803,1818,157,248,읊을_탄_歎,,歎,U+6B4E
S04_003-2,701,413,368,131,읊을_탄_歎,,歎,U+6B4E
S04_003-2,3829,2071,114,143,영_령_令,,令,U+F9A8
S04_003-2,3797,2213,171,136,사람_인_人,,人,U+4EBA
S04_003-2,3777,2356,177,125,꾸짖을_돌_咄,,咄,U+5484
S04_003-2,3787,2603,164,141,없을_무_無,,無,U+7121
S04_003-2,2742,3010,117,134,없을_무_無,,無,U+7121
S04_003-2,3824,2760,112,83,이미_이_已,,已,U+5DF2
S04_003-2,1520,767,109,105,이미_이_已,,已,U+5DF2
S04_003-2,3773,2857,161,200,돌아갈_귀_歸,,歸,U+6B78
S04_003-2,3246,2757,163,193,돌아갈_귀_歸,,歸,U+6B78
S04_003-2,4685,1765,99,103,돌아갈_귀_歸,,歸,U+6B78
S04_003-2,3784,3071,142,108,때_시_時,,時,U+6642
S04_003-2,4686,1872,95,70,때_시_時,,時,U+6642
S04_003-2,3773,3185,156,122,좇을_종_從,,從,U+5F9E
S04_003-2,3244,2229,173,159,좇을_종_從,,從,U+5F9E
S04_003-2,1723,1984,134,144,좇을_종_從,,從,U+5F9E
S04_003-2,928,3019,128,119,좇을_종_從,,從,U+5F9E
S04_003-2,3776,3319,147,187,어찌_하_何,,何,U+4F55
S04_003-2,3261,3288,137,107,어찌_하_何,,何,U+4F55
S04_003-2,2209,2702,138,119,어찌_하_何,,何,U+4F55
S04_003-2,1309,1901,118,201,어찌_하_何,,何,U+4F55
S04_003-2,4550,1461,99,200,어찌_하_何,,何,U+4F55
S04_003-2,3499,662,209,224,길_도_道,,道,U+9053
S04_003-2,3493,3020,181,159,길_도_道,,道,U+9053
S04_003-2,3526,908,167,155,돌아올_반_返,,返,U+8FD4
S04_003-2,3530,1079,162,182,풀_사_卸,,卸,U+5378
S04_003-2,3537,1282,136,146,어조사_야_也,,也,U+4E5F
S04_003-2,3207,2966,187,129,어조사_야_也,,也,U+4E5F
S04_003-2,1292,2932,114,135,어조사_야_也,,也,U+4E5F
S04_003-2,742,1897,134,126,어조사_야_也,,也,U+4E5F
S04_003-2,3517,1438,155,197,같을_약_若,,若,U+82E5
S04_003-2,4663,2481,114,112,같을_약_若,,若,U+82E5
S04_003-2,3523,1632,170,254,지낼_역_歷,,歷,U+F98C
S04_003-2,3530,1893,156,130,지날_과_過,,過,U+904E
S04_003-2,3536,2038,154,118,가까울_근_近,,近,U+8FD1
S04_003-2,2230,1202,140,101,가까울_근_近,,近,U+8FD1
S04_003-2,3526,2168,170,134,땅_지_地,,地,U+5730
S04_003-2,3524,2300,166,140,반드시_필_必,,必,U+5FC5
S04_003-2,1491,1246,139,134,반드시_필_必,,必,U+5FC5
S04_003-2,1301,2812,126,114,반드시_필_必,,必,U+5FC5
S04_003-2,918,2375,142,128,반드시_필_必,,必,U+5FC5
S04_003-2,3514,2440,163,167,있을_유_有,,有,U+6709
S04_003-2,1667,410,202,150,있을_유_有,,有,U+6709
S04_003-2,3521,2620,142,119,서로_상_相,,相,U+76F8
S04_003-2,3515,2743,159,150,베풀_서_叙,,叙,U+53D9
S04_003-2,3556,3180,98,94,말 이을_이_而,,而,U+800C
S04_003-2,3287,2661,107,76,말 이을_이_而,,而,U+800C
S04_003-2,2256,1783,83,76,말 이을_이_而,,而,U+800C
S04_003-2,1753,1127,97,82,말 이을_이_而,,而,U+800C
S04_003-2,2124,412,108,143,말 이을_이_而,,而,U+800C
S04_003-2,4688,2923,80,64,말 이을_이_而,,而,U+800C
S04_003-2,3522,3287,168,212,발자국 소리_공_跫,,跫,U+8DEB
S04_003-2,3269,665,151,146,소리_음_音,,音,U+97F3
S04_003-2,3272,833,161,175,다할_경_竟,,竟,U+7ADF
S04_003-2,3226,1018,217,190,고요할_적_寂,,寂,U+5BC2
S04_003-2,3259,1201,155,205,그러할_연_然,,然,U+7136
S04_003-2,1490,2493,137,146,그러할_연_然,,然,U+7136
S04_003-2,2881,435,155,135,그러할_연_然,,然,U+7136
S04_003-2,3254,1422,155,167,뜻_의_意,,意,U+610F
S04_003-2,3281,1600,119,95,놈_자_者,,者,U+8005
S04_003-2,3269,1708,156,154,넘을_유_踰,,踰,U+8E30
S04_003-2,3267,1869,157,120,대_죽_竹,,竹,U+7AF9
S04_003-2,3260,1994,160,222,재_령_嶺,,嶺,U+5DBA
S04_003-2,3243,2388,172,106,북녘_북_北,,北,U+5317
S04_003-2,3252,2501,167,159,길_로_路,,路,U+8DEF
S04_003-2,3262,3073,141,130,슬퍼할_창_悵,,悵,U+60B5
S04_003-2,3280,3385,105,127,말씀_언_言,,言,U+8A00
S04_003-2,1725,2809,113,155,말씀_언_言,,言,U+8A00
S04_003-2,1734,3372,110,138,말씀_언_言,,言,U+8A00
S04_003-2,2992,653,172,200,삼갈_근_謹,,謹,U+8B39
S04_003-2,595,1167,108,167,삼갈_근_謹,,謹,U+8B39
S04_003-2,2993,857,190,203,물을_문_問,,問,U+554F
S04_003-2,2737,588,185,184,구실_세_稅,,稅,U+7A05
S04_003-2,2710,781,186,193,멍에_가_駕,,駕,U+99D5
S04_003-2,2740,983,158,149,뒤_후_後,,後,U+5F8C
S04_003-2,2745,1126,142,134,능할_능_能,,能,U+80FD
S04_003-2,2768,1252,132,149,면할_면_免,,免,U+514D
S04_003-2,2737,1399,148,141,일할_노_勞,,勞,U+F92F
S04_003-2,2718,1533,168,205,고달플_비_憊,,憊,U+618A
S04_003-2,2732,1866,144,149,근심_환_患,,患,U+60A3
S04_003-2,2724,2028,156,187,어조사_야_耶,,耶,U+8036
S04_003-2,1105,2064,130,320,어조사_야_耶,,耶,U+8036
S04_003-2,1109,3126,119,362,어조사_야_耶,,耶,U+8036
S04_003-2,4672,2336,112,134,어조사_야_耶,,耶,U+8036
S04_003-2,2721,2235,175,107,여자_여_女,,女,U+F981
S04_003-2,1244,3191,179,124,여자_여_女,,女,U+F981
S04_003-2,2722,2346,160,154,아우_제_弟,,弟,U+5F1F
S04_003-2,2493,1286,110,176,아우_제_弟,,弟,U+5F1F
S04_003-2,2209,3349,128,149,아우_제_弟,,弟,U+5F1F
S04_003-2,1732,2091,106,142,아우_제_弟,,弟,U+5F1F
S04_003-2,943,599,90,144,아우_제_弟,,弟,U+5F1F
S04_003-2,4332,2314,94,153,아우_제_弟,,弟,U+5F1F
S04_003-2,4693,2226,81,103,아우_제_弟,,弟,U+5F1F
S04_003-2,2731,2501,141,191,끌_휴_携,,携,U+643A
S04_003-2,2746,2694,133,121,아이_아_兒,,兒,U+5152
S04_003-2,2733,2822,148,172,무리_배_輩,,輩,U+8F29
S04_003-2,2722,3149,149,170,병_질_疾,,疾,U+75BE
S04_003-2,2700,3323,206,172,병_병_病,,病,U+75C5
S04_003-2,2484,637,159,202,어조사_여_歟,,歟,U+6B5F
S04_003-2,2482,860,151,162,거슬러 올라갈_소_溯,,溯,U+6EAF
S04_003-2,2493,1093,146,112,끊을_절_切,,切,U+5207
S04_003-2,2485,1466,136,146,늙은이_노_老,,老,U+F934
S04_003-2,2018,1343,103,127,늙은이_노_老,,老,U+F934
S04_003-2,2466,1614,174,157,친할_친_親,,親,U+89AA
S04_003-2,1967,1496,174,170,친할_친_親,,親,U+89AA
S04_003-2,1104,2970,143,148,친할_친_親,,親,U+89AA
S04_003-2,2499,1775,120,79,써_이_以,,以,U+4EE5
S04_003-2,2221,3155,119,79,써_이_以,,以,U+4EE5
S04_003-2,1113,2402,116,82,써_이_以,,以,U+4EE5
S04_003-2,2464,1862,143,174,왼_좌_左,,左,U+5DE6
S04_003-2,2477,2031,139,163,넓적다리_고_股,,股,U+80A1
S04_003-2,2498,2161,113,165,고기_어_魚,,魚,U+9B5A
S04_003-2,2464,2324,146,155,배_복_腹,,腹,U+8179
S04_003-2,2448,2488,143,143,독_독_毒,,毒,U+6BD2
S04_003-2,2452,2659,162,168,수중다리_종_瘇,,瘇,U+7607
S04_003-2,2438,2838,153,187,창_루_屢,,屢,U+5C62
S04_003-2,2461,3026,131,149,열흘_순_旬,,旬,U+65EC
S04_003-2,2465,3175,120,148,쓸_고_苦,,苦,U+82E6
S04_003-2,2440,3327,149,182,법도_도_度,,度,U+5EA6
S04_003-2,2217,635,178,203,그을릴_초_焦,,焦,U+7126
S04_003-2,2229,841,153,126,번민할_민_悶,,悶,U+60B6
S04_003-2,2215,2564,147,135,번민할_민_悶,,悶,U+60B6
S04_003-2,2226,1070,163,135,다할_극_極,,極,U+6975
S04_003-2,1723,2972,136,133,다할_극_極,,極,U+6975
S04_003-2,3898,469,147,185,다할_극_極,,極,U+6975
S04_003-2,2214,1308,176,183,겨우_재_纔,,纔,U+7E94
S04_003-2,2230,1494,151,132,향할_향_向,,向,U+5411
S04_003-2,2219,1622,161,157,덜_감_減,,減,U+6E1B
S04_003-2,2244,1866,133,160,완전할_완_完,,完,U+5B8C
S04_003-2,1102,592,134,156,완전할_완_完,,完,U+5B8C
S04_003-2,2218,2028,153,164,합할_합_合,,合,U+5408
S04_003-2,728,1751,125,139,합할_합_合,,合,U+5408
S04_003-2,2250,2195,102,122,아닐_미_未,,未,U+672A
S04_003-2,1317,1565,105,125,아닐_미_未,,未,U+672A
S04_003-2,2230,2316,126,122,바꿀_역_易,,易,U+F9E0
S04_003-2,2214,2447,139,112,사사_사_私,,私,U+79C1
S04_003-2,4679,1020,106,109,사사_사_私,,私,U+79C1
